drug_name,medical_condition,side_effects,generic_name,brand_names
amoxicillin,Bronchitis,"severe stomach pain; or diarrhea that is watery or bloody (even if it occurs months after your last dose). Common amoxicillin side effects may include: nausea , vomiting , diarrhea; or rash.",amoxicillin,"Amoxil, Trimox, Moxatag"
guaifenesin,Bronchitis,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Common guaifenesin side effects may include: dizziness , headache ; drowsiness; rash; or nausea , vomiting , stomach upset .",guaifenesin,"Mucinex, Tussin Expectorant, Xpect, Organidin NR"
levofloxacin,Bronchitis,"low blood sugar--headache, hunger, sweating, irritability, dizziness , nausea , fast heart rate , or feeling anxious or shaky; nerve symptoms in your hands, arms, legs, or feet--numbness, weakness, tingling, burning pain; serious mood or behavior changes-- nervousness , confusion, agitation, paranoia, hallucinations, memory problems, trouble concentrating, thoughts of suicide; or signs of tendon rupture--sudden pain, swelling, bruising, tenderness, stiffness, movement problems, or a snapping or popping sound in any of your joints (rest the joint until you receive medical care or instructions). In rare cases, levofloxacin may cause damage to your aorta, the main blood artery of the body. This could lead to dangerous bleeding or death. Get emergency medical help if you have severe and constant pain in your chest, stomach, or back. Stop taking levofloxacin and call your doctor at once if you have : severe stomach pain, diarrhea that is watery or bloody; fast or pounding heartbeats, fluttering in your chest, shortness of breath, and sudden dizziness (like you might pass out); the first sign of any skin rash, no matter how mild; muscle weakness, breathing problems; seizure (convulsions); increased pressure inside the skull--severe headaches, ringing in your ears, dizziness, nausea, vision problems, pain behind your eyes; or liver problems--upper stomach pain, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Common side effects of levofloxacin may include: nausea, constipation , diarrhea; headache, dizziness; or trouble sleeping.",levofloxacin (oral),Levaquin
amoxicillin / clavulanate,Bronchitis,"severe stomach pain, diarrhea that is watery or bloody (even if it occurs months after your last dose); pale or yellowed skin, dark colored urine, fever, confusion or weakness; loss of appetite, upper stomach pain; little or no urination; or easy bruising or bleeding. Common amoxicillin and clavulanate side effects may include: nausea, vomiting; diarrhea; rash, itching; vaginal itching or discharge; or diaper rash .",amoxicillin and clavulanate potassium,"Augmentin, Augmentin ES-600, Augmentin XR"
clarithromycin,Bronchitis,"( hives , difficult breathing, swelling in your face or throat) or a severe skin reaction ( fever , sore throat , burning in your eyes, skin pain, red or purple skin rash that spreads and causes blistering and peeling). Call your doctor at once if you have: severe stomach pain, diarrhea that is watery or bloody; fast or pounding heartbeats, fluttering in your chest, shortness of breath, and sudden dizziness (like you might pass out); confusion, spinning sensation; liver problems - loss of appetite, upper stomach pain, tiredness, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes); or kidney problems - little or no urination, swelling in your feet or ankles, feeling tired or short of breath. If you've ever had heart problems, clarithromycin may cause a heart attack or stroke years after you've taken this medicine. Seek medical attention right away if you have chest pain spreading to your jaw or shoulder, trouble breathing, slurred speech, or sudden numbness or weakness on one side of your body. Older adults may be more likely to have heart rhythm side effects, including a life-threatening fast heart rate . Common clarithromycin side effects may include: stomach pain, nausea, vomiting; diarrhea; or unusual or unpleasant taste in your mouth.",clarithromycin,"Biaxin, Biaxin XL"
cefdinir,Bronchitis,"severe stomach pain, diarrhea that is watery or bloody (even if it occurs months after your last dose); fever, chills, body aches, flu symptoms; pale skin, easy bruising, unusual bleeding; seizure (convulsions); fever, weakness, confusion; dark colored urine, jaundice (yellowing of the skin or eyes); or kidney problems--little or no urination, swelling in your feet or ankles, feeling tired or short of breath. Common side effects of cefdinir may include: nausea, vomiting, stomach pain, diarrhea; vaginal itching or discharge; headache ; or rash (including diaper rash in an infant taking liquid cefdinir.",cefdinir,"Omnicef, Omnicef Omni-Pac"
ciprofloxacin,Bronchitis,"low blood sugar - headache, hunger, irritability, dizziness , nausea , fast heart rate , or feeling shaky; nerve damage symptoms - numbness, tingling, burning pain in your hands, arms, legs, or feet: serious mood or behavior changes - nervousness, confusion, agitation, paranoia, hallucinations, memory problems, trouble concentrating, thoughts of suicide; or signs of tendon rupture - sudden pain, swelling, bruising, tenderness, stiffness, movement problems, or a snapping or popping sound in any of your joints (rest the joint until you receive medical care or instructions). In rare cases, ciprofloxacin may cause damage to your aorta, the main blood artery of the body. This could lead to dangerous bleeding or death. Get emergency medical help if you have severe and constant pain in your chest, stomach, or back. Also, stop using this medicine and call your doctor at once if you have: severe stomach pain, diarrhea that is watery or bloody; fast or pounding heartbeats, fluttering in your chest, shortness of breath, and sudden dizziness (like you might pass out); any skin rash, no matter how mild; muscle weakness, breathing problems; little or no urination; jaundice (yellowing of the skin or eyes); or increased pressure inside the skull - severe headaches, ringing in your ears, dizziness, nausea, vision problems, pain behind your eyes. Common ciprofloxacin side effects may include: nausea, vomiting , diarrhea, stomach pain; headache; or abnormal liver function tests .",ciprofloxacin (oral),"Cipro, Proquin XR"
cefuroxime,Bronchitis,"severe stomach pain, diarrhea that is watery or bloody (even if it occurs months after your last dose); jaundice (yellowing of the skin or eyes); fever, chills; a seizure; or chest pain. Common side effects of cefuroxime may include: nausea , vomiting , diarrhea; flu-like symptoms; vaginal itching or discharge; or diaper rash (in people using the oral suspension).",cefuroxime (oral/injection),"Ceftin, Zinacef"
erythromycin,Bronchitis,"severe stomach pain, diarrhea that is watery or bloody (even if it occurs months after your last dose); headache with chest pain and severe dizziness, fainting, fast or pounding heartbeats; a seizure; hearing problems (rare); pancreatitis - severe pain in your upper stomach spreading to your back, nausea and vomiting; or liver problems - loss of appetite, stomach pain (upper right side), tiredness, easy bruising or bleeding, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Serious side effects may be more likely in older adults, including hearing loss, or a life-threatening fast heart rate. Call your doctor if a baby using this medicine is vomiting or irritable with feeding. Common erythromycin side effects may include: severe stomach pain, diarrhea that is watery or bloody (even if it occurs months after your last dose); liver problems; or abnormal liver function tests.",erythromycin (oral/injection),"E.E.S. Granules, Ery-Tab, Erythrocin Lactobionate, Erythrocin Stearate Filmtab"
ceftriaxone,Bronchitis,"severe stomach pain, diarrhea that is watery or bloody (even if it occurs months after your last dose); new signs of infection (fever, chills, sweating); nausea , vomiting , pain in your upper stomach that spreads to your back; pale or yellowed skin, dark colored urine; new or worsening breathing problems (wheezing, feeling short of breath); a blood cell disorder-- headache , chest pain, dizziness , weakness, severe tingling or numbness ; or kidney or bladder problems--pain in your side or lower back spreading to your groin, blood in your urine, painful or difficult urination, little or no urine. Common side effects of ceftriaxone may include: symptoms of a blood cell disorder; diarrhea; vaginal itching or discharge; warmth, tight feeling, or a hard lump where the injection was given; rash; or abnormal liver function tests .",ceftriaxone (injection),Rocephin
beclomethasone,Bronchitis,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Beclomethasone can affect growth in children. Talk with your doctor if you think your child is not growing at a normal rate while using this medicine. Beclomethasone inhalation may cause serious side effects. Call your doctor at once if you have: wheezing, choking, or other breathing problems after using this medicine; worsening asthma symptoms; white patches or sores inside your mouth or on your lips; blurred vision, tunnel vision, eye pain , or seeing halos around lights; signs of infection--fever, chills, body aches, vomiting ; signs of low adrenal gland hormones --worsening tiredness, lack of energy, weakness, feeling light-headed, nausea , vomiting; or increased adrenal gland hormones --hunger, weight gain, swelling, skin discoloration, slow wound healing, sweating, acne , increased body hair, tiredness, mood changes, muscle weakness, missed menstrual periods, sexual changes. Common side effects of beclomethasone inhalation may include: a yeast infection in the mouth; sinus pain, irritation in your nose; or cold symptoms such as stuffy nose, sneezing, sore throat .",beclomethasone inhalation,"Qvar Redihaler, Beclovent"
moxifloxacin,Bronchitis,"low blood sugar--headache, hunger, sweating, irritability, dizziness , nausea , fast heart rate , or feeling anxious or shaky; nerve symptoms in your hands, arms, legs, or feet--numbness, weakness, tingling, burning pain; serious mood or behavior changes-- nervousness , confusion, agitation, paranoia, hallucinations, memory problems, trouble concentrating, thoughts of suicide; or signs of tendon rupture--sudden pain, swelling, bruising, tenderness, stiffness, movement problems, or a snapping or popping sound in any of your joints (rest the joint until you receive medical care or instructions). In rare cases, moxifloxacin may cause damage to your aorta, the main blood artery of the body. This could lead to dangerous bleeding or death. Get emergency medical help if you have severe and constant pain in your chest, stomach, or back. Also stop using moxifloxacin and call your doctor at once if you have: severe stomach pain, diarrhea that is watery or bloody; fast or pounding heartbeats, fluttering in your chest, shortness of breath, and sudden dizziness (like you might pass out); muscle weakness, breathing problems; a seizure (convulsions); any skin rash, no matter how mild; increased pressure inside the skull--severe headaches, ringing in your ears, vision problems, pain behind your eyes; or liver problems--upper stomach pain, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Common side effects of moxifloxacin may include: nausea, diarrhea; dizziness; or headache.",moxifloxacin (oral/injection),"Avelox, Avelox I.V."
cefixime,Bronchitis,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Cefixime may cause serious side effects. Call your doctor at once if you have: severe stomach pain, diarrhea that is watery or bloody; jaundice (yellowing of the skin or eyes); pale or yellowed skin, dark colored urine, confusion or weakness; a seizure (convulsions); low blood cell counts--sudden weakness or ill feeling, fever, chills, flu-like symptoms, swollen gums, mouth sores, skin sores, rapid heart rate, pale skin, easy bruising, unusual bleeding, feeling light-headed; kidney problems--little or no urination, painful or difficult urination, swelling in your feet or ankles, feeling tired or short of breath; or severe skin reaction--fever, sore throat , swelling in your face or tongue, burning in your eyes, skin pain followed by a red or purple skin rash that spreads (especially in the face or upper body) and causes blistering and peeling. Common side effects of cefixime may include: indigestion , stomach pain; nausea , vomiting ; or vaginal itching or discharge.",cefixime,Suprax
cefpodoxime,Bronchitis,"severe stomach pain, diarrhea that is watery or bloody (even if it occurs months after your last dose); fever, chills, sore throat, mouth sores, swollen glands, joint pain, or not feeling well; a seizure; or liver problems--upper stomach pain, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Common side effects of cefpodoxime may include: diarrhea; nausea, stomach pain; headache ; vaginal itching or discharge; or diaper rash in an infant using cefpodoxime.",cefpodoxime,Vantin
cefprozil,Bronchitis,"severe stomach pain, diarrhea that is watery or bloody (even if it occurs months after your last dose); fever, chills, sore throat, mouth sores; pale or yellowed skin, dark colored urine, fever, confusion or weakness; easy bruising, unusual bleeding; a seizure; or kidney problems--little or no urination, swelling in your feet or ankles, feeling tired or short of breath. Common side effects of cefprozil may include: nausea , diarrhea; vaginal itching or discharge; diaper rash ; or abnormal liver function tests .",cefprozil,Cefzil
dicloxacillin,Bronchitis,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Dicloxacillin may cause serious side effects. Call your doctor at once if you have: severe stomach pain, diarrhea that is watery or bloody; nausea, vomiting; little or no urination; unusual bleeding or bruising; a seizure (convulsions); mouth pain or irritation, black tongue, sore throat ; or fever, swollen glands, rash or itching, joint pain, or general ill feeling. Common side effects of dicloxacillin may include: heartburn, nausea, vomiting, diarrhea; blisters or ulcers in your mouth, red or swollen gums, trouble swallowing; or abnormal liver function tests .",dicloxacillin,"Dycill, Dynapen"
gemifloxacin,Bronchitis,"low blood sugar--headache, hunger, sweating, irritability, dizziness , nausea , fast heart rate , or feeling anxious or shaky; nerve symptoms in your hands, arms, legs, or feet--numbness, weakness, tingling, burning pain; serious mood or behavior changes-- nervousness , confusion, agitation, paranoia, hallucinations, memory problems, trouble concentrating, thoughts of suicide; or signs of tendon rupture--sudden pain, swelling, bruising, tenderness, stiffness, movement problems, or a snapping or popping sound in any of your joints (rest the joint until you receive medical care or instructions). In rare cases, gemifloxacin may cause damage to your aorta, the main blood artery of the body. This could lead to dangerous bleeding or death. Get emergency medical help if you have severe and constant pain in your chest, stomach, or back. Also, stop using gemifloxacin and call your doctor at once if you have: severe stomach pain, diarrhea that is watery or bloody; fast or pounding heartbeats, fluttering in your chest, shortness of breath, and sudden dizziness (like you might pass out); the first sign of any skin rash, no matter how mild; muscle weakness, breathing problems; jaundice (yellowing of the skin or eyes); a seizure (convulsions); or increased pressure inside the skull--severe headaches, ringing in your ears, vision problems, pain behind your eyes. Common side effects of gemifloxacin may include: nausea, vomiting , stomach pain, diarrhea; headache; dizziness; or rash.",gemifloxacin,Factive
Hytuss,Bronchitis,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Cough that does not go away. Hytuss side effects",Guaifenesin Tablets,Organidin NR
ofloxacin,Bronchitis,"low blood sugar--headache, hunger, sweating, irritability, dizziness , nausea , fast heart rate , or feeling anxious or shaky; nerve symptoms in your hands, arms, legs, or feet--numbness, weakness, tingling, burning pain; serious mood or behavior changes-- nervousness , confusion, agitation, paranoia, hallucinations, memory problems, trouble concentrating, thoughts of suicide; or signs of tendon rupture--sudden pain, swelling, bruising, tenderness, stiffness, movement problems, or a snapping or popping sound in any of your joints (rest the joint until you receive medical care or instructions). In rare cases, ofloxacin may cause damage to your aorta, the main blood artery of the body. This could lead to dangerous bleeding or death. Get emergency medical help if you have severe and constant pain in your chest, stomach, or back. Also, stop using ofloxacin and call your doctor at once if you have: severe stomach pain, diarrhea that is watery or bloody; fast or pounding heartbeats, fluttering in your chest, shortness of breath, and sudden dizziness (like you might pass out); the first sign of any skin rash, no matter how mild; muscle weakness, breathing problems; little or no urination; a seizure (convulsions); increased pressure inside the skull--severe headaches, ringing in your ears, vision problems, pain behind your eyes; or liver problems--upper stomach pain, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Common side effects of ofloxacin may include: nausea, constipation , diarrhea; dizziness; or headache.",ofloxacin (oral),Floxin
cilastatin / imipenem,Bronchitis,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Imipenem and cilastatin may cause serious side effects. Call your doctor at once if you have: severe stomach pain, diarrhea that is watery or bloody; upper stomach pain, loss of appetite; jaundice (yellowing of the skin or eyes); a seizure (convulsions); fever; or a light-headed feeling, like you might pass out. Common side effects of imipenem and cilastatin may include: pain, swelling, redness, bruising, or hardening where the medicine was injected; dizziness , drowsiness; nausea , vomiting , diarrhea; or itching, rash.",imipenem and cilastatin,"Primaxin IV, Primaxin IM"
carboplatin,Cancer,"Carboplatin may cause unwanted effects, particularly because carboplatin interferes with the growth of normal cells as well as cancer cells. For example, the occurrence of another cancer (secondary malignancy) has been reported in patients receiving cancer chemotherapy with multiple drugs. It is not always possible to tell whether such effects are caused by carboplatin, another drug you may be taking, or your illness. Because some of these effects may be serious, you will need close medical supervision during treatment with carboplatin. The most serious side effects of carboplatin are: bleeding and reduced blood cells, including reduced red blood cells (anemia) and platelets (needed for proper blood clotting), which may be severe enough to require blood transfusion. You should tell your doctor right away if you notice any unusual bruising or bleeding, including black tarry stools or blood in the urine. infection – carboplatin can temporarily lower the number of white blood cells in your blood, increasing the risk of infection; life-threatening allergic reaction – during and after treatment the doctor or nurse will observe you carefully for signs of allergic reaction; kidney and liver problems; loss of hearing or ringing in the ears; Contact your doctor right away if you experience any of these effects, or notice effects that worry you or are troublesome. Of the less serious side effects associated with carboplatin treatment, the most common are nausea, vomiting, diarrhea, loss of appetite, hair loss and numbness, tingling, burning, or pain in the hands and feet. Carboplatin side effects",carboplatin,Paraplatin
chlorambucil,Cancer,"What are the serious (bad) side effects of chlorambucil? Allergic Reactions: You should immediately get emergency medical help if you have signs of: allergic reaction (difficulty breathing, swelling in your face or throat, hives ) or a severe skin reaction (fever, sore throat , burning eyes, skin pain, red or purple skin rash with blistering and peeling). Other serious (bad) side effects: You should call your doctor at once if you have: a seizure any unusual lump or mass, severe diarrhea or vomiting, a cough that is new or worsening, signs of bone marrow suppression eg. dizziness , feeling tired or short of breath, pale lips or fingernail beds, fast heart rate , signs of liver problems eg. low appetite, pain in the upper right side of stomach, dark urine, clay-colored stools, yellowing of the skin or eyes, or signs of low blood cell counts eg. high body temperature, chills, tiredness, mouth sores, skin sores, easy bruising, unusual bleeding, pale skin, cold hands and feet, feeling light-headed or short of breath. What are the common side effects of chlorambucil? nausea, vomiting or diarrhea, white patches or sores in or around your mouth, bone marrow suppression, low blood cell counts, missed menstrual periods in women.",Chlorambucil,Leukeran
fluorouracil,Cancer,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Fluorouracil may cause serious side effects. Call your doctor at once if you have: fever (take your temperature each day while receiving fluorouracil); severe or ongoing diarrhea ; vision problems; confusion, problems with balance or muscle movement; painful mouth sores, red or swollen gums, trouble swallowing, talking, or eating; bone marrow suppression-- dizziness , pale lips or fingernail beds, fast heart rate , getting easily tired or short of breath; ""hand and foot syndrome""--pain, blisters, bleeding, or severe rash on the palms of your hands or the soles of your feet; heart problems--chest pain or pressure, pain spreading to your jaw or shoulder, irregular heartbeats, nausea , sweating, feeling dizzy or short of breath. Your cancer treatments may be delayed or permanently discontinued if you have certain side effects. Common side effects of fluorouracil may include: diarrhea; mouth sores; heart problems; or bone marrow suppression.",fluorouracil (injection),Adrucil
doxorubicin,Cancer,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Some side effects may occur during the injection. Tell your caregiver right away if you feel dizzy, nauseated, light-headed, sweaty, or have a headache , chest tightness, back pain , trouble breathing, or swelling in your face. Doxorubicin may cause serious side effects. Call your doctor at once if you have: pain, blisters, or skin sores where the injection was given; missed menstrual periods; easy bruising, unusual bleeding (nose, mouth, vagina, or rectum), purple or red pinpoint spots under your skin; low white blood cell counts--fever, swollen gums, painful mouth sores, pain when swallowing, skin sores, cold or flu symptoms, cough, trouble breathing; or signs of heart problems--fast heartbeats, shortness of breath (even with mild exertion), feeling very weak or tired, swelling in your ankles or feet. Doxorubicin may cause your urine to turn a reddish-orange color. This side effect is usually not harmful. Common side effects of doxorubicin may include: nausea, vomiting; or hair loss .",doxorubicin,Adriamycin
cyclophosphamide,Cancer,"new worsening cough, shortness of breath, trouble breathing while lying down; a light-headed feeling, like you might pass out; pink or red urine, pain or burning when you urinate; bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds; any wound that will not heal; heart problems--swelling, rapid weight gain, pounding heartbeats or fluttering in your chest; liver problems--loss of appetite, stomach pain (upper right side), bloating , dark urine, jaundice (yellowing of the skin or eyes); low sodium level-- headache , confusion, slurred speech, severe weakness, vomiting , loss of coordination, feeling unsteady; or low blood cell counts--fever, chills, tiredness, blisters or ulcers in your mouth, skin sores, easy bruising, unusual bleeding, pale skin, cold hands and feet, feeling light-headed or short of breath. Common side effects of cyclophosphamide may include: fever, low blood cell counts; mouth sores; nausea , vomiting, diarrhea ; hair loss ; or missed menstrual periods.",cyclophosphamide (oral/injection),"Cytoxan, Neosar, Cytoxan Lyophilized"
vincristine,Cancer,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Vincristine may cause serious side effects. Call your doctor at once if you have: severe constipation, severe bloating or stomach pain, bloody or tarry stools; swelling, rapid weight gain; urination problems; wheezing, trouble breathing; chest pain or pressure, pain spreading to your jaw or shoulder; problems with vision, hearing, speech, balance, or daily activities; a seizure; mouth pain or ulcers; numbness , tingling, burning pain; or low blood cell counts--fever, chills, sore throat , body aches, easy bruising, unusual bleeding, pale skin, cold hands and feet, feeling light-headed or short of breath. Common side effects of vincristine may include: hair loss ; decreased weight with loss of muscle tissue; nausea , vomiting , diarrhea , weight loss ; or rash.",vincristine,"Vincasar PFS, Oncovin"
vinblastine,Cancer,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Vinblastine may cause serious side effects. Call your doctor at once if you have: wheezing, trouble breathing; chest pain or pressure, pain spreading to your jaw or shoulder; severe constipation; ongoing nausea or vomiting ; numbness , tingling, burning pain; problems with vision, hearing, speech, balance, or daily activities; mouth pain or ulcers; or low blood cell counts--fever, chills, sore throat , body aches, easy bruising, unusual bleeding, pale skin, cold hands and feet, feeling light-headed or short of breath. Common side effects of vinblastine may include: low blood cell counts; jaw pain, tumor pain, bone pain; constipation; or temporary hair loss .",vinblastine,Velban
ifosfamide,Cancer,"fever, chills, flu symptoms; mouth and throat ulcers; skin sores, pale skin, cold hands and feet; easy bruising, unusual bleeding; rapid heart rate, shallow breathing; or feeling light-headed or short of breath. Call your doctor at once if you have any of these side effects: confusion, unusual thoughts or behavior, hallucinations, seizure (convulsions); little or no urination, painful or difficult urination, blood in your urine; loss of bladder control; a seizure; muscle movements you cannot control; problems with your hearing or vision, ringing in your ears; sudden chest pain, wheezing, dry cough; dark urine, jaundice (yellowing of the skin or eyes); or a wound that will not heal. Common side effects of ifosfamide may include: nausea and vomiting ; confusion, vision problems, thinking problems; numbness , tingling, burning pain; infections; urination problems; or hair loss .",ifosfamide,Ifex
dactinomycin,Cancer,"swelling or tenderness in your stomach (upper right side), rapid weight gain; swelling in your arms or legs; dark urine, jaundice (yellowing of the skin or eyes); redness of your skin or the inside of your mouth and throat (if you are also receiving radiation treatment); sores or white patches in or around your mouth, trouble swallowing or talking, dry mouth, bad breath, altered sense of taste; blisters, ulcers, or other skin changes where an injection was given; or low blood cell counts--fever, chills, tiredness, mouth sores, skin sores, easy bruising, unusual bleeding, pale skin, cold hands and feet, feeling light-headed or short of breath. Common side effects of dactinomycin may include: hair loss ; fever, infections, low blood cell counts; rash; trouble swallowing; nausea , vomiting ; or tiredness.",dactinomycin,Cosmegen
thiotepa,Cancer,"hives ; wheezing, difficult breathing; swelling of your face, lips, tongue, or throat. Thiotepa may cause serious side effects. Call your doctor at once if you have: sores or white patches in or around your mouth, trouble swallowing or talking, dry mouth, bad breath, altered sense of taste; confusion, hallucinations; headache , drowsiness, changes in behavior or personality; problems with memory, speech, or thought; a seizure; twitching muscles, overactive reflexes, problems with coordination or movement; blood in your urine; low blood cell counts--fever, chills, tiredness, mouth sores, skin sores, easy bruising, unusual bleeding, pale skin, cold hands and feet, feeling light-headed or short of breath; or liver problems--rapid weight gain, stomach pain and bloating , dark urine, jaundice (yellowing of the skin or eyes). Common side effects of thiotepa may include: low blood cell counts; signs of infection (fever, chills, sore throat , muscle aches); blood in your urine; mouth sores; or abnormal liver function tests .",thiotepa,"Tepadina, Thioplex"
topotecan,Cancer,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Topotecan may cause serious side effects. Call your doctor at once if you have: new or worsening cough, fever, trouble breathing; diarrhea with fever and stomach cramps; pain or burning when you urinate; signs of pneumonia --fever, chills, cough with mucus, chest pain, feeling short of breath; or low blood cell counts--fever, chills, flu-like symptoms, mouth sores, skin sores, pale skin, cold hands and feet, bruising or bleeding, feeling light-headed. Your cancer treatments may be delayed or permanently discontinued if you have certain side effects. Common side effects of topotecan may include: low blood cell counts; trouble breathing, pneumonia nausea, diarrhea, vomiting, stomach pain; loss of appetite; hair loss ; or feeling weak or tired.",topotecan (oral/injection),Hycamtin
atorvastatin,Cholesterol,"hives; difficulty breathing; swelling of your face, lips, tongue, or throat. In rare cases, atorvastatin can cause a condition that results in the breakdown of skeletal muscle tissue, potentially leading to kidney failure. Call your doctor right away if you have unexplained muscle pain, tenderness, or weakness especially if you also have fever, unusual tiredness, and dark colored urine. Atorvastatin may cause serious side effects. Call your doctor at once if you have: muscle weakness in your hips, shoulders, neck, and back trouble lifting your arms, trouble climbing or standing; liver problems - upper stomach pain, weakness, tired feeling, loss of appetite, dark urine, jaundice (yellowing of the skin or eyes); or kidney problems - little or no urinating, swelling in your feet or ankles, feeling tired or short of breath. Common side effects of atorvastatin may include: joint pain; stuffy nose; sore throat; diarrhea; or pain in your arms or legs.",atorvastatin,Lipitor
simvastatin,Cholesterol,"signs of a kidney problem - little or no urinating; painful or difficult urination; swelling in your feet or ankles; feeling tired or short of breath; or muscle weakness in your hips, shoulders, neck, and back; trouble lifting your arms, trouble climbing or standing; or liver problems - nausea, upper stomach pain, itching, tired feeling, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Common simvastatin side effects may include: headache; constipation, nausea, stomach pain; or cold symptoms such as stuffy nose, sneezing, sore throat.",simvastatin,Zocor
ezetimibe,Cholesterol,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Ezetimibe can cause the breakdown of muscle tissue, which can lead to kidney failure. Call your doctor right away if you have unexplained muscle pain, tenderness, or weakness especially if you also have fever, unusual tiredness, or dark urine. Side effects may be more likely in older adults. Common ezetimibe side effects may include: diarrhea ; cold symptoms such as stuffy nose, sneezing, sore throat ; pain in an arm or leg; joint pain; or muscle pain while taking ezetimibe with a statin.",ezetimibe,Zetia
evolocumab,Cholesterol,"Evolocumab can cause serious side effects including: Serious Allergic Reactions . Some people taking evolocumab have had serious allergic reactions. Stop taking evolocumab and call your healthcare provider or seek emergency medical help right away if you or your child have any of these symptoms: trouble breathing or swallowing raised bumps (hives) rash, or itching swelling of the face, lips, tongue, throat or arms The most common side effects of evolocumab include: runny nose, sore throat, symptoms of the common cold, flu or flu-like symptoms, back pain, high blood sugar levels (diabetes) and redness, pain, or bruising at the injection site. Tell your healthcare provider if you or your child have any side effect that bothers you or that does not go away. These are not all the possible side effects of evolocumab. Ask your healthcare provider or pharmacist for more information. Call your healthcare provider for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088. Evolocumab side effects",evolocumab ,Repatha
rosuvastatin,Cholesterol,"Serious side effects of rosuvastatin include: Muscle pain, tenderness and weakness (myopathy). Muscle problems, including muscle breakdown, can be serious in some people and rarely cause kidney damage that can lead to death. Tell your doctor right away if: you have unexplained muscle pain, tenderness, or weakness, especially if you have a fever or feel more tired than usual, while you take this medication. you have muscle problems that do not go away even after your doctor has told you to stop taking this medication. Your doctor may do further tests to diagnose the cause of your muscle problems. Your chances of getting muscle problems are higher if you: are taking certain other medicines while you take rosuvastatin are 65 years of age or older have thyroid problems (hypothyroidism) that are not controlled have kidney problems are taking higher doses of this medication Liver problems. Your doctor should do blood tests to check your liver before you start taking this medication and if you have symptoms of liver problems while you taking it. Call your doctor right away if you have any of the following symptoms of liver problems: feel unusually tired or weak loss of appetite upper belly pain dark urine yellowing of your skin or the whites of your eyes The most common side effects of rosuvastain may include: headache muscle aches and pains abdominal pain weakness nausea Additional side effects that have been reported with rosuvastatin include memory loss and confusion. Tell your doctor if you have any side effect that bothers you or that does not go away. These are not all the possible side effects. For more information, ask your doctor or pharmacist. Call your doctor for medical advice about side effects. You may report side effects to FDA at 1-800-FDA-1088. Rosuvastatin side effects",rosuvastatin ,Crestor
pravastatin,Cholesterol,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. In rare cases, pravastatin can cause a condition that results in the breakdown of skeletal muscle tissue, leading to kidney failure. Call your doctor right away if you have unexplained muscle pain, tenderness, or weakness especially if you also have fever, unusual tiredness, or dark colored urine. Call your doctor right away if you have: muscle weakness in your hips, shoulders, neck, and back; trouble lifting your arms, trouble climbing or standing; or liver problems - loss of appetite, stomach pain (upper right side), tiredness, dark urine, jaundice (yellowing of the skin or eyes). Common pravastatin side effects may include: muscle or joint pain; nausea , vomiting , diarrhea ; headache ; or cold symptoms such as stuffy nose, sneezing, sore throat .",pravastatin,Pravachol
lovastatin,Cholesterol,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Lovastatin can cause the breakdown of muscle tissue, which can lead to kidney failure. Call your doctor right away if you have unexplained muscle pain, tenderness, or weakness especially if you also have fever, unusual tiredness, or dark colored urine. Also call your doctor at once if you have: muscle weakness in your hips, shoulders, neck, and back; trouble lifting your arms, trouble climbing or standing; kidney problems--little or no urination, swelling in your feet or ankles, feeling tired or short of breath; or liver problems--loss of appetite, stomach pain (upper right side), tiredness, dark urine, jaundice (yellowing of the skin or eyes). Common side effects of lovastatin may include: infections; headache ; or accidental injury.",lovastatin,"Altoprev, Mevacor, Altocor"
