drug_name,medical_condition,side_effects,generic_name,brand_names
Chlo Hist,Colds & Flu,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Feeling very sleepy. Chlo Hist side effects",Chlophedianol and Dexbrompheniramine,
chlophedianol / pyrilamine,Colds & Flu,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Chlophedianol / pyrilamine side effects",Chlophedianol and Pyrilamine,Ninjacof
chlorpheniramine / ibuprofen / pseudoephedrine,Colds & Flu,"chest pain spreading to your jaw or shoulder, sudden numbness or weakness on one side of the body, slurred speech, leg swelling, feeling short of breath. This medicine may cause serious side effects. Stop using this medicine and call your doctor at once if you have: severe dizziness , trouble sleeping, or nervousness ; shortness of breath (even with mild exertion); swelling or rapid weight gain; a skin rash, no matter how mild; severe headache, blurred vision, pounding in your neck or ears; signs of stomach bleeding--bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds; liver problems--loss of appetite, stomach pain (upper right side), tiredness, itching, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes); or kidney problems--little or no urination, swelling in your feet or ankles, feeling tired or short of breath. Common side effects of chlorpheniramine, ibuprofen, and pseudoephedrine may include: upset stomach , mild heartburn , nausea , vomiting ; bloating , gas, diarrhea , constipation ; dizziness, headache, nervousness; flushing (warmth, redness, or tingly feeling); mild itching or rash; or ringing in your ears.","chlorpheniramine, ibuprofen, and pseudoephedrine",Advil Allergy Sinus
chlorpheniramine / phenylephrine / pyrilamine,Colds & Flu,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. This medicine may cause serious side effects. Stop using this medicine and call your doctor at once if you have: confusion, hallucinations; feeling nervous or irritable; trouble sleeping; little or no urination; a seizure (convulsions); numbness or tingly feeling; a light-headed feeling, like you might pass out; pounding heartbeats or fluttering in your chest; or increased blood pressure--severe headache, blurred vision, pounding in your neck or ears, anxiety , nosebleed. Side effects may be more likely in older adults. Common side effects of chlorpheniramine, phenylephrine, and pyrilamine may include: nausea , constipation , loss of appetite; rash or itching; increased sweating; dry mouth, nose, or throat; blurred vision; headache, dizziness ; or feeling restless or excited (especially in children).","chlorpheniramine, phenylephrine, and pyrilamine","Chlorex-A 12, Conal, MyHist-PD, Nalex A 12, Phena-Plus, Phena-S, Poly Hist PD (old formulation), Ru-Hist Forte, Atrohist Pediatric, Rynatan-S Pediatric, R-Tannate Pediatric, Gelhist Pediatric, R-Tannate, Triotann-S, R-Tannamine Pediatric, Triotann-S Pediatric, Tanoral Pediatric, Equitan Pediatric, Triple Tannate Pediatric, Tri-Tannate, Tanamine Pediatric, Tri-Tannate Pediatric, Rhinatate Pediatric, Rhinatate, Url-Tannate Pediatric, Tritan, Tanamine, R-Tannamine, Tanoral, URL-Tannate, Triotann, Histatan, Triotann Pediatric, Tri-Gestan S, Tri-Hist Pediatric, Tri Tann Pediatric, Poly Hist Forte (obsolete1), AllerTan, Triplex AD"
Cold Multi-Symptom (Nighttime),Colds & Flu,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Signs of liver problems like dark urine, feeling tired, not hungry, upset stomach or stomach pain, light-colored stools, throwing up, or yellow skin or eyes. Not able to pass urine or change in how much urine is passed. A very bad skin reaction ( Stevens-Johnson syndrome / toxic epidermal necrolysis ) may happen. It can cause very bad health problems that may not go away, and sometimes death. Get medical help right away if you have signs like red, swollen, blistered, or peeling skin (with or without fever); red or irritated eyes; or sores in your mouth, throat, nose, or eyes. Cold Multi-Symptom (Nighttime) side effects",Acetaminophen/Chlorpheniramine/Dextromethorphan/Phenylephrine Caps & Tabs,
Comtrex Cold and Cough Maximum Strength,Colds & Flu,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Signs of liver problems like dark urine, feeling tired, not hungry, upset stomach or stomach pain, light-colored stools, throwing up, or yellow skin or eyes. Not able to pass urine or change in how much urine is passed. A very bad skin reaction ( Stevens-Johnson syndrome / toxic epidermal necrolysis ) may happen. It can cause very bad health problems that may not go away, and sometimes death. Get medical help right away if you have signs like red, swollen, blistered, or peeling skin (with or without fever); red or irritated eyes; or sores in your mouth, throat, nose, or eyes. Comtrex Cold and Cough Maximum Strength side effects","Acetaminophen, Dextromethorphan, and Phenylephrine Capsules and Tablets",
Comtrex Cold and Flu Maximum Strength Tablet,Colds & Flu,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. In rare cases, acetaminophen may cause a severe skin reaction that can be fatal. This could occur even if you have taken acetaminophen in the past and had no reaction. Stop taking this medicine and call your doctor right away if you have skin redness or a rash that spreads and causes blistering and peeling. If you have this type of reaction, you should never again take any medicine that contains acetaminophen. This medicine may cause serious side effects. Stop using this medicine and call your doctor at once if you have: any new or worsening symptoms; severe drowsiness; fever for longer than 3 days; redness, swelling, or rash; ongoing headache; or pain, cough, or sinus congestion lasting more than 7 days; Some side effects may be more likely in older adults. Common side effects of Comtrex Cold and Flu Maximum Strength Tablet may include: dizziness , drowsiness; dry mouth, nose, or throat; blurred vision; constipation ; feeling restless or excited (especially in children); or sleep problems ( insomnia ).","acetaminophen, chlorpheniramine, dextromethorphan, and pseudoephedrine","Triaminic Cold and Fever, Vicks 44 Cold, Flu and Cough"
Contac Cold + Flu (Night Formula),Colds & Flu,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. In rare cases, acetaminophen may cause a severe skin reaction that can be fatal. This could occur even if you have taken acetaminophen in the past and had no reaction. Stop taking Contac Cold+Flu Maximum Strength and call your doctor right away if you have skin redness or a rash that spreads and causes blistering and peeling. If you have this type of reaction, you should never again take any medicine that contains acetaminophen. This medicine may cause serious side effects. Stop using this medicine and call your doctor at once if you have: chest pain, rapid pulse, fast or uneven heart rate; confusion, hallucinations, severe nervousness ; tremor, seizure (convulsions); easy bruising or bleeding, unusual weakness; little or no urinating; nausea, pain in your upper stomach, itching, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of your skin or eyes); or dangerously high blood pressure (severe headache, blurred vision, buzzing in your ears, anxiety , chest pain, shortness of breath, uneven heartbeats, seizure). Side effects such as dry mouth, constipation , and confusion may be more likely in older adults. Common side effects of Contac Cold+Flu Maximum Strength may include: dizziness , drowsiness; mild headache, blurred vision; dry mouth, nose, or throat; constipation; feeling nervous; or sleep problems ( insomnia );","acetaminophen, chlorpheniramine, and phenylephrine","Alka-Seltzer Plus Cold, Dristan Cold Multi Symptom Formula, Tylenol Allergy Multi-Symptom, Tylenol Children's Plus Cold, Tylenol Sinus Congestion Nighttime"
Delsym Cough+ Cold Day Time,Colds & Flu,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. In rare cases, acetaminophen may cause a severe skin reaction that can be fatal. This could occur even if you have taken acetaminophen in the past and had no reaction. Stop taking this medicine and call your doctor right away if you have skin redness or a rash that spreads and causes blistering and peeling. If you have this type of reaction, you should never again take any medicine that contains acetaminophen. This medicine may cause serious side effects. Stop using this medicine and call your doctor at once if you have: chest pain, fast, slow, or uneven heart rate; severe dizziness , feeling like you might pass out; mood changes, confusion, hallucinations; tremor, seizure (convulsions); fever; urinating less than usual or not at all; nausea, pain in your upper stomach, itching, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of your skin or eyes); or dangerously high blood pressure (severe headache, blurred vision, buzzing in your ears, anxiety , chest pain, uneven heartbeats, seizure). Common side effects of Delsym Cough Plus Cold Day Time may include: dizziness, weakness; mild headache; mild nausea, diarrhea , upset stomach ; dry mouth, nose, or throat; feeling nervous, restless, irritable, or anxious; or sleep problems ( insomnia ).","acetaminophen, dextromethorphan, guaifenesin, and phenylephrine","Mucinex Fast-Max Severe Cold, Sudafed PE Cold & Cough, Tylenol Cold & Flu Severe, Tylenol Cold Multi-Symptom Severe"
Delsym Cough+ Cold Night Time,Colds & Flu,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. In rare cases, acetaminophen may cause a severe skin reaction that can be fatal. This could occur even if you have taken acetaminophen in the past and had no reaction. Stop taking this medicine and call your doctor right away if you have skin redness or a rash that spreads and causes blistering and peeling. If you have this type of reaction, you should never again take any medicine that contains acetaminophen. This medicine may cause serious side effects. Stop using this medicine and call your doctor at once if you have: severe drowsiness; painful or difficult urination; dizziness , trouble sleeping, nervousness ; or liver problems--loss of appetite, stomach pain (upper right side), tiredness, itching, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Common side effects of Delsym Cough Plus Cold Night Time may include: drowsiness; dry eyes, blurred vision; dry mouth, nose, or throat; constipation ; or feeling restless or excited (especially in children).","acetaminophen, diphenhydramine, and phenylephrine",Sudafed PE Severe Cold
Deltuss DMX,Colds & Flu,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Deltuss DMX side effects","Dexchlorpheniramine, Dextromethorphan, and Pseudoephedrine Liquid",
dexbrompheniramine / pseudoephedrine,Colds & Flu,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. This medicine may cause serious side effects. Stop using this medicine and call your doctor at once if you have: severe nervousness ; a light-headed feeling, like you might pass out; trouble sleeping; fast or uneven heart rate; or painful or difficult urination. Side effects may be more likely in older adults. Common side effects of dexbrompheniramine and pseudoephedrine may include: drowsiness; feeling restless or excited (especially in children); blurred vision; or dry nose or mouth.",dexbrompheniramine and pseudoephedrine,"Conex, Drixoral Cold and Allergy, Dexophed, Disobrom, Disophrol, Drixoral, 12 Hour Cold, Dexaphen SA, Dixaphedrine, Drixomed, Pharmadrine"
dextromethorphan / phenylephrine / pyrilamine,Colds & Flu,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Dextromethorphan / phenylephrine / pyrilamine side effects",Phenylephrine/ Pyrilamine/ Dextromethorphan Syrup,Codimal DM
dextromethorphan / phenylephrine / triprolidine,Colds & Flu,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Dextromethorphan / phenylephrine / triprolidine side effects","Triprolidine, Phenylephrine, and Dextromethorphan Syrup",Histex-DM
Diabetic Tussin Night Time Formula,Colds & Flu,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. In rare cases, acetaminophen may cause a severe skin reaction that can be fatal. This could occur even if you have taken acetaminophen in the past and had no reaction. Stop taking this medicine and call your doctor right away if you have skin redness or a rash that spreads and causes blistering and peeling. If you have this type of reaction, you should never again take any medicine that contains acetaminophen. This medicine may cause serious side effects. Stop using this medicine and call your doctor at once if you have: fast, pounding, or uneven heartbeats; severe drowsiness; painful or difficult urination; severe headache, seizure; or liver problems--loss of appetite, stomach pain (upper right side), tiredness, itching, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Common side effects of Diabetic Tussin Night Time Formula may include: drowsiness; headache, sleep problems ( insomnia ); upset stomach , diarrhea or constipation ; dry eyes, blurred vision; dry mouth, nose, or throat; or feeling restless or excited (especially in children).","acetaminophen, dextromethorphan, and diphenhydramine",
Dologen,Colds & Flu,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Signs of liver problems like dark urine, feeling tired, not hungry, upset stomach or stomach pain, light-colored stools, throwing up, or yellow skin or eyes. Not able to pass urine or change in how much urine is passed. A very bad skin reaction ( Stevens-Johnson syndrome / toxic epidermal necrolysis ) may happen. It can cause very bad health problems that may not go away, and sometimes death. Get medical help right away if you have signs like red, swollen, blistered, or peeling skin (with or without fever); red or irritated eyes; or sores in your mouth, throat, nose, or eyes. Dologen side effects",Dexbrompheniramine and Acetaminophen Caplets,
doxylamine / phenylephrine,Colds & Flu,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. This medicine may cause serious side effects. Stop using this medicine and call your doctor at once if you have: severe dizziness ; nervousness , trouble sleeping; little or no urination; or high blood pressure (severe headache, pounding in your neck or ears). Common side effects of doxylamine and phenylephrine may include: dizziness, drowsiness; dry mouth, nose, or throat; constipation ; blurred vision; or feeling restless or excited (especially in children).",doxylamine and phenylephrine,Poly Hist Forte
Dristan Cold Multi Symptom Formula,Colds & Flu,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. In rare cases, acetaminophen may cause a severe skin reaction that can be fatal. This could occur even if you have taken acetaminophen in the past and had no reaction. Stop taking Dristan Cold Multi Symptom Formula and call your doctor right away if you have skin redness or a rash that spreads and causes blistering and peeling. If you have this type of reaction, you should never again take any medicine that contains acetaminophen. This medicine may cause serious side effects. Stop using this medicine and call your doctor at once if you have: chest pain, rapid pulse, fast or uneven heart rate; confusion, hallucinations, severe nervousness ; tremor, seizure (convulsions); easy bruising or bleeding, unusual weakness; little or no urinating; nausea, pain in your upper stomach, itching, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of your skin or eyes); or dangerously high blood pressure (severe headache, blurred vision, buzzing in your ears, anxiety , chest pain, shortness of breath, uneven heartbeats, seizure). Side effects such as dry mouth, constipation , and confusion may be more likely in older adults. Common side effects of Dristan Cold Multi Symptom Formula may include: dizziness , drowsiness; mild headache, blurred vision; dry mouth, nose, or throat; constipation; feeling nervous; or sleep problems ( insomnia );","acetaminophen, chlorpheniramine, and phenylephrine","Alka-Seltzer Plus Cold, Tylenol Allergy Multi-Symptom, Tylenol Children's Plus Cold, Tylenol Sinus Congestion Nighttime"
Flutabs,Colds & Flu,,"guaifenesin, pseudoephedrine hydrochloride, dextromethorphan hydrobromide, and acetaminophen",
ibuprofen / phenylephrine,Colds & Flu,"chest pain spreading to your jaw or shoulder, sudden numbness or weakness on one side of the body, slurred speech, leg swelling, feeling short of breath. ibuprofen and phenylephrine may cause serious side effects. Stop using ibuprofen and phenylephrine and call your doctor at once if you have: severe dizziness or nervousness , trouble sleeping; swelling, rapid weight gain; shortness of breath; new or worsening stomach pain; or signs of stomach bleeding--bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds. Common side effects of ibuprofen and phenylephrine may include: heartburn , stomach pain; dizziness; sleep problems ( insomnia ); or feeling nervous or excited.",ibuprofen and phenylephrine,
"Mucinex Children's Cold, Cough & Sore Throat",Colds & Flu,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. In rare cases, acetaminophen may cause a severe skin reaction that can be fatal. This could occur even if you have taken acetaminophen in the past and had no reaction. Stop taking this medicine and call your doctor right away if you have skin redness or a rash that spreads and causes blistering and peeling. If you have this type of reaction, you should never again take any medicine that contains acetaminophen. This medicine may cause serious side effects. Stop using this medicine and call your doctor at once if you have: chest pain, fast, slow, or uneven heart rate; severe dizziness , feeling like you might pass out; mood changes, confusion, hallucinations; tremor, seizure (convulsions); fever; urinating less than usual or not at all; nausea, pain in your upper stomach, itching, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of your skin or eyes); or dangerously high blood pressure (severe headache, blurred vision, buzzing in your ears, anxiety , chest pain, uneven heartbeats, seizure). Common side effects of Mucinex Children's Cold, Cough & Sore Throat may include: dizziness, weakness; mild headache; mild nausea, diarrhea , upset stomach ; dry mouth, nose, or throat; feeling nervous, restless, irritable, or anxious; or sleep problems ( insomnia ).","acetaminophen, dextromethorphan, guaifenesin, and phenylephrine","Mucinex Fast-Max Severe Cold, Sudafed PE Cold & Cough, Tylenol Cold & Flu Severe, Tylenol Cold Multi-Symptom Severe"
Ninjacof,Colds & Flu,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Ninjacof side effects",Chlophedianol and Pyrilamine,
Norel AD,Colds & Flu,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Signs of liver problems like dark urine, feeling tired, not hungry, upset stomach or stomach pain, light-colored stools, throwing up, or yellow skin or eyes. Not able to pass urine or change in how much urine is passed. A very bad skin reaction ( Stevens-Johnson syndrome / toxic epidermal necrolysis ) may happen. It can cause very bad health problems that may not go away, and sometimes death. Get medical help right away if you have signs like red, swollen, blistered, or peeling skin (with or without fever); red or irritated eyes; or sores in your mouth, throat, nose, or eyes. Norel AD side effects","Acetaminophen, Chlorpheniramine, and Phenylephrine Tablets","Allergy Multi-Symptom, Comtrex Severe Cold & Sinus, Contac Cold/Flu Day & Night, Coricidin D Cold/Flu/Sinus, Dristan Cold, Medicidin-D, Norel AD, Onset Forte, Robitussin Peak Cold Nasal Relief, Super Cold Tabs, Super Strength Sinadrin, Tylenol Allergy Multi-Symptom, Tylenol Sinus Congestion/Pain"
phenylephrine / promethazine,Colds & Flu,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. This medicine may cause serious side effects. Stop using this medicine and call your doctor at once if you have: seizure (convulsions); weak or shallow breathing; jaundice (yellowing of the skin or eyes); confusion, hallucinations; sudden weakness or ill feeling, fever, chills, sore throat , mouth sores, red or swollen gums, trouble swallowing; uncontrollable movements of your eyes, lips, tongue, face, arms, or legs; or severe nervous system reaction--very stiff (rigid) muscles, high fever, sweating, confusion, fast or uneven heartbeats, tremors, feeling like you might pass out. Common side effects of phenylephrine and promethazine may include: dizziness , drowsiness; dry mouth, nose, or throat; blurred vision; or constipation.",phenylephrine and promethazine,"Phenergan VC, Promethazine VC Plain, Promethazine VC"
Poly-Tussin AC,Colds & Flu,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Like other narcotic medications, codeine can slow your breathing. Death may occur if breathing becomes too weak. A person caring for you should seek emergency medical attention if you have slow breathing with long pauses, blue colored lips, or if you are hard to wake up. Stop taking this medicine and call your doctor at once if you have: noisy breathing, sighing, shallow breathing; a slow heart rate or weak pulse; nervousness , trouble sleeping; severe constipation ; or little or no urination. Serious side effects may be more likely in older adults and those who are overweight , malnourished, or debilitated. Common side effects of Poly-Tussin AC may include: drowsiness; or feeling restless or excited (especially in children). Side effects such as dry mouth, constipation, and confusion may be more likely in older adults.","brompheniramine, codeine, and phenylephrine",M-End PE
Poly Hist Forte,Colds & Flu,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. This medicine may cause serious side effects. Stop using this medicine and call your doctor at once if you have: severe dizziness ; nervousness , trouble sleeping; little or no urination; or high blood pressure (severe headache, pounding in your neck or ears). Common side effects of Poly Hist Forte may include: dizziness, drowsiness; dry mouth, nose, or throat; constipation ; blurred vision; or feeling restless or excited (especially in children).",doxylamine and phenylephrine,
Robitussin Peak Cold Nighttime Cold + Flu,Colds & Flu,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. In rare cases, acetaminophen may cause a severe skin reaction that can be fatal. This could occur even if you have taken acetaminophen in the past and had no reaction. Stop taking this medicine and call your doctor right away if you have skin redness or a rash that spreads and causes blistering and peeling. If you have this type of reaction, you should never again take any medicine that contains acetaminophen. The medicine may cause serious side effects. Stop using the medicine and call your doctor at once if you have: severe headache, seizure (convulsions); fast, pounding, or uneven heartbeats; confusion, hallucinations, severe dizziness or drowsiness, slow or shallow breathing; tremor, restless muscle movements; little or no urinating; flu symptoms, easy bruising, unusual bleeding, pale skin, weakness, feeling light-headed; or nausea, pain in your upper stomach pain, itching, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Common side effects of Robitussin Peak Cold Nighttime Cold + Flu may include: headache, sleep problems ( insomnia ); upset stomach , diarrhea or constipation ; dry eyes, blurred vision, dry mouth or nose; mild dizziness or drowsiness, trouble concentrating; feeling restless or excited (especially in children); or mild skin rash .","acetaminophen, dextromethorphan, and doxylamine","Coricidin HBP Nighttime Multi-Symptom Cold, Robitussin Peak Cold Nighttime Cold + Flu, Tylenol Cold & Cough Nighttime Cool Burst, Tylenol Warming Cough & Sore Throat Nightime"
Ru-Hist Forte,Colds & Flu,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. This medicine may cause serious side effects. Stop using this medicine and call your doctor at once if you have: confusion, hallucinations; feeling nervous or irritable; trouble sleeping; little or no urination; a seizure (convulsions); numbness or tingly feeling; a light-headed feeling, like you might pass out; pounding heartbeats or fluttering in your chest; or increased blood pressure--severe headache, blurred vision, pounding in your neck or ears, anxiety , nosebleed. Side effects may be more likely in older adults. Common side effects of Ru-Hist Forte may include: nausea , constipation , loss of appetite; rash or itching; increased sweating; dry mouth, nose, or throat; blurred vision; headache, dizziness ; or feeling restless or excited (especially in children).","chlorpheniramine, phenylephrine, and pyrilamine","Chlorex-A 12, Conal, MyHist-PD, Nalex A 12, Phena-Plus, Phena-S, Poly Hist PD (old formulation), Ru-Hist Forte"
Sinus & Allergy PE,Colds & Flu,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Stop using Sinus & Allergy PE and call your doctor at once if you have: chest pain, rapid pulse, fast or uneven heart rate; confusion, hallucinations, severe nervousness ; tremor, seizure (convulsions); little or no urinating; easy bruising or bleeding, unusual weakness; or dangerously high blood pressure (severe headache, buzzing in your ears, anxiety , shortness of breath). Common side effects of Sinus & Allergy PE may include: dizziness , drowsiness, blurred vision; dry nose or mouth; nausea , stomach pain, constipation , loss of appetite; problems with memory or concentration; or feeling restless or excited (especially in children).",chlorpheniramine and phenylephrine,"Allan Tannate Pediatric, Allerest PE, BP Allergy JR, ChlorTan D, Cold & Allergy Relief, Dallergy Drops, Ed A-Hist, Ed ChlorPed D, NoHist LQ, Phenagil, R-Tanna, Sinus & Allergy PE, Sudafed PE Sinus & Allergy"
Sudafed PE Head Congestion + Pain,Colds & Flu,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Weakness on 1 side of the body, trouble speaking or thinking, change in balance, drooping on one side of the face, or blurred eyesight. Shortness of breath, a big weight gain, or swelling in the arms or legs. Chest pain or pressure. Very bad dizziness or passing out. Any unexplained bruising or bleeding. Very bad belly pain. Black, tarry, or bloody stools. Throwing up blood or throw up that looks like coffee grounds. A very bad skin reaction ( Stevens-Johnson syndrome / toxic epidermal necrolysis ) may happen. It can cause very bad health problems that may not go away, and sometimes death. Get medical help right away if you have signs like red, swollen, blistered, or peeling skin (with or without fever); red or irritated eyes; or sores in your mouth, throat, nose, or eyes. Sudafed PE Head Congestion + Pain side effects",Ibuprofen and Phenylephrine,"Advil Congestion Relief, Advil Sinus Congestion & Pain"
Sudafed PE Pressure+Pain+Cough,Colds & Flu,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. In rare cases, acetaminophen may cause a severe skin reaction that can be fatal. This could occur even if you have taken acetaminophen in the past and had no reaction. Stop taking this medicine and call your doctor right away if you have skin redness or a rash that spreads and causes blistering and peeling. If you have this type of reaction, you should never again take any medicine that contains acetaminophen. Stop using Sudafed PE Pressure+Pain+Cough and call your doctor at once if you have: chest pain, fast, slow, or uneven heart rate; severe dizziness , feeling like you might pass out; mood changes, confusion, hallucinations, seizure (convulsions); little or no urinating; nausea, upper stomach pain, itching, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes); or dangerously high blood pressure (severe headache, blurred vision, buzzing in your ears, anxiety , chest pain, uneven heartbeats, seizure). Common side effects of Sudafed PE Pressure+Pain+Cough may include: dizziness, weakness, mild headache; diarrhea , upset stomach ; dry mouth, nose, or throat; feeling nervous, restless, irritable, or anxious; or sleep problems ( insomnia ).","acetaminophen, dextromethorphan, and phenylephrine","Mapap Cold Formula, Robitussin Peak Cold Daytime Cold + Flu, Sudafed PE Pressure+Pain+Cough, Theraflu Daytime Severe Cold & Cough, Theraflu Warming Severe Cold Daytime, Tylenol Cold Multi-Symptom Daytime"
Theraflu Flu & Sore Throat,Colds & Flu,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. In rare cases, acetaminophen may cause a severe skin reaction that can be fatal. This could occur even if you have taken acetaminophen in the past and had no reaction. Stop taking Theraflu Flu & Sore Throat and call your doctor right away if you have skin redness or a rash that spreads and causes blistering and peeling. If you have this type of reaction, you should never again take any medicine that contains acetaminophen. The medicine may cause serious side effects. Stop using the medicine and call your doctor at once if you have: chest pain, rapid pulse, fast or uneven heart rate; confusion, hallucinations, tremor, severe dizziness or anxiety ; slow, shallow breathing; little or no urinating; easy bruising or bleeding, unusual weakness; nausea, pain in your upper stomach pain, itching, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes); or dangerously high blood pressure (severe headache, blurred vision, buzzing in your ears, anxiety, confusion, chest pain, shortness of breath, uneven heartbeats, seizure). Common side effects of Theraflu Flu & Sore Throat may include: dryness of the eyes, nose, and mouth; blurred vision; dizziness, drowsiness, problems with memory or concentration; ringing in your ears; feeling restless or irritable; or mild nausea, stomach pain, constipation.","acetaminophen, pheniramine, and phenylephrine",
